node,arclen_from_fixed,disp_x,disp_y,disp_z,disp_mag
0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1.000000,0.000000,0.000000,0.000000,0.000000
2,2.000000,0.000000,0.000000,0.000000,0.000000
3,3.000000,0.020248,0.059767,0.000000,0.063104
4,4.000000,0.037276,0.163289,0.000000,0.167490
5,5.000000,0.050651,0.299134,0.000000,0.303392
6,6.000000,0.060627,0.458851,0.000000,0.462839
7,7.000000,0.067704,0.636201,0.000000,0.639793
8,8.000000,0.072426,0.826583,0.000000,0.829749
9,9.000000,0.075288,1.026600,0.000000,1.029357
10,10.000000,0.076711,1.233746,0.000000,1.236129
11,11.000000,0.077032,1.446167,0.000000,1.448217
12,12.000000,0.076519,1.662492,0.000000,1.664252
13,13.000000,0.075377,1.881709,0.000000,1.883218
14,14.000000,0.073763,2.103067,0.000000,2.104361
15,15.000000,0.071796,2.326011,0.000000,2.327119
16,16.000000,0.069567,2.550130,0.000000,2.551079
17,17.000000,0.067142,2.775120,0.000000,2.775932
18,18.000000,0.064571,3.000754,0.000000,3.001448
19,19.000000,0.061892,3.226865,0.000000,3.227459
20,20.000000,0.059133,3.453331,0.000000,3.453837
21,21.000000,0.056314,3.680059,0.000000,3.680490
22,22.000000,0.053451,3.906981,0.000000,3.907347
23,23.000000,0.050555,4.134048,0.000000,4.134357
24,24.000000,0.047635,4.361221,0.000000,4.361481
25,25.000000,0.044697,4.588473,0.000000,4.588691
26,26.000000,0.041746,4.815784,0.000000,4.815964
27,27.000000,0.038784,5.043138,0.000000,5.043287
28,28.000000,0.035816,5.270524,0.000000,5.270645
29,29.000000,0.032842,5.497934,0.000000,5.498032
30,30.000000,0.029864,5.725361,0.000000,5.725439
31,31.000000,0.026883,5.952802,0.000000,5.952863
32,32.000000,0.023899,6.180253,0.000000,6.180299
33,33.000000,0.020914,6.407710,0.000000,6.407744
34,34.000000,0.017928,6.635173,0.000000,6.635197
35,35.000000,0.014941,6.862639,0.000000,6.862656
36,36.000000,0.011954,7.090109,0.000000,7.090119
37,37.000000,0.008966,7.317580,0.000000,7.317585
38,38.000000,0.005977,7.545053,0.000000,7.545055
39,39.000000,0.002989,7.772526,0.000000,7.772527
40,40.000000,0.000000,8.000000,0.000000,8.000000
