panel,geometry,edit,partition,delta,R_frac,D_frac,degenerate
barxstatic_far,bar,static_far,default,-0.2,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.19,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.18,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.17,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.16,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.15,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.14,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.13,0.0,0.48,True
barxstatic_far,bar,static_far,default,-0.12,0.001,0.479,True
barxstatic_far,bar,static_far,default,-0.11,0.0185,0.4615,True
barxstatic_far,bar,static_far,default,-0.1,0.034,0.446,True
barxstatic_far,bar,static_far,default,-0.09,0.0545,0.4255,False
barxstatic_far,bar,static_far,default,-0.08,0.0745,0.4055,False
barxstatic_far,bar,static_far,default,-0.07,0.0965,0.3835,False
barxstatic_far,bar,static_far,default,-0.06,0.114,0.366,False
barxstatic_far,bar,static_far,default,-0.05,0.134,0.346,False
barxstatic_far,bar,static_far,default,-0.04,0.1585,0.3215,False
barxstatic_far,bar,static_far,default,-0.03,0.1835,0.2965,False
barxstatic_far,bar,static_far,default,-0.02,0.204,0.276,False
barxstatic_far,bar,static_far,default,-0.01,0.2225,0.2575,False
barxstatic_far,bar,static_far,default,0.0,0.24,0.24,False
barxstatic_far,bar,static_far,default,0.01,0.262,0.218,False
barxstatic_far,bar,static_far,default,0.02,0.282,0.198,False
barxstatic_far,bar,static_far,default,0.03,0.3035,0.1765,False
barxstatic_far,bar,static_far,default,0.04,0.326,0.154,False
barxstatic_far,bar,static_far,default,0.05,0.3475,0.1325,False
barxstatic_far,bar,static_far,default,0.06,0.3805,0.0995,False
barxstatic_far,bar,static_far,default,0.07,0.4095,0.0705,False
barxstatic_far,bar,static_far,default,0.08,0.436,0.044,True
barxstatic_far,bar,static_far,default,0.09,0.461,0.019,True
barxstatic_far,bar,static_far,default,0.1,0.48,0.0,True
barxstatic_far,bar,static_far,default,0.11,0.48,0.0,True
barxstatic_far,bar,static_far,default,0.12,0.48,0.0,True
barxstatic_far,bar,static_far,default,0.13,0.48,0.0,True
barxstatic_far,bar,static_far,default,0.14,0.48,0.0,True
barxstatic_far,bar,static_far,default,0.15,0.48,0.0,True
