panel,partition,stage,delta,rho,seed,support_norm,regime
barxstatic_far,default,A_rho1,-0.04,1.0,0,0.21549731455675133,contained
barxstatic_far,default,A_rho1,-0.02,1.0,0,0.21549731455675133,contained
barxstatic_far,default,A_rho1,0.0,1.0,0,0.21549731455675133,contained
barxstatic_far,default,A_rho1,0.02,1.0,0,0.21549731455675133,contained
barxstatic_far,default,A_rho1,0.04,1.0,0,0.21549731455675133,contained
blobxstatic_far,default,A_rho1,-0.04,1.0,0,0.18815710592863463,contained
blobxstatic_far,default,A_rho1,-0.02,1.0,0,0.18815710592863463,contained
blobxstatic_far,default,A_rho1,0.0,1.0,0,0.18815710592863463,contained
blobxstatic_far,default,A_rho1,0.02,1.0,0,0.18815710592863463,contained
blobxstatic_far,default,A_rho1,0.04,1.0,0,0.18815710592863463,contained
barxstatic_far,default,A_live,-0.04,16.0,0,0.2067689586477896,contained
barxstatic_far,default,A_live,-0.04,16.0,1,0.20295823678992028,contained
barxstatic_far,default,A_live,-0.04,16.0,2,0.2079624668099711,contained
barxstatic_far,default,A_live,-0.02,16.0,0,0.20653103455498126,contained
barxstatic_far,default,A_live,-0.02,16.0,1,0.20333514034404906,contained
barxstatic_far,default,A_live,-0.02,16.0,2,0.2080200866785307,contained
barxstatic_far,default,A_live,0.0,16.0,0,0.20775818711710548,contained
barxstatic_far,default,A_live,0.0,16.0,1,0.20451730149030634,contained
barxstatic_far,default,A_live,0.0,16.0,2,0.20931818073270228,contained
barxstatic_far,default,A_live,0.02,16.0,0,0.20964405540428108,contained
barxstatic_far,default,A_live,0.02,16.0,1,0.20620210307902923,contained
barxstatic_far,default,A_live,0.02,16.0,2,0.2114991179116497,contained
barxstatic_far,default,A_live,0.04,16.0,0,0.2122276448508064,contained
barxstatic_far,default,A_live,0.04,16.0,1,0.20892005464517246,contained
barxstatic_far,default,A_live,0.04,16.0,2,0.213544795825361,contained
blobxstatic_far,default,A_live,-0.04,16.0,0,0.18780148680047748,contained
blobxstatic_far,default,A_live,-0.04,16.0,1,0.1817988385183065,contained
blobxstatic_far,default,A_live,-0.04,16.0,2,0.18466137921395676,contained
blobxstatic_far,default,A_live,-0.02,16.0,0,0.1857387060099467,contained
blobxstatic_far,default,A_live,-0.02,16.0,1,0.18024517267215207,contained
blobxstatic_far,default,A_live,-0.02,16.0,2,0.1831890324361169,contained
blobxstatic_far,default,A_live,0.0,16.0,0,0.1818660334697099,contained
blobxstatic_far,default,A_live,0.0,16.0,1,0.17657181478173767,contained
blobxstatic_far,default,A_live,0.0,16.0,2,0.1794398951651019,contained
blobxstatic_far,default,A_live,0.02,16.0,0,0.1786203170240338,contained
blobxstatic_far,default,A_live,0.02,16.0,1,0.17302516391839062,contained
blobxstatic_far,default,A_live,0.02,16.0,2,0.17619850796590408,contained
blobxstatic_far,default,A_live,0.04,16.0,0,0.17737148234428224,contained
blobxstatic_far,default,A_live,0.04,16.0,1,0.17066741328514032,contained
blobxstatic_far,default,A_live,0.04,16.0,2,0.17373146196719877,contained
